start training Autoencoder
training_iteration=10
batch_size=32
image_size=70

test acc: 67.50%, loss: 0.6215
test acc: 70.70%, loss: 0.5941
test acc: 71.50%, loss: 0.5853
test acc: 72.80%, loss: 0.5687
test acc: 72.10%, loss: 0.5746
test acc: 74.30%, loss: 0.5559
test acc: 73.20%, loss: 0.5613
test acc: 75.60%, loss: 0.5497
test acc: 74.90%, loss: 0.5568
test acc: 76.10%, loss: 0.5471
